symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2020-12-17,446729,OTHER,False,realized_vol,3.0353144629902413,0.2780897281612218,15.357737450381569,0.045133417783667334,0.07719107760120669,287,True,7,False,0.5120150920053926
BTCUSDT,2020-12-19,446776,OTHER,False,activity_volume,3.698309810737012,0.30775842439288315,14.141281681776254,0.049015866889434635,0.09436172610372362,287,True,2,False,0.5619976615671783
BTCUSDT,2020-12-19,446776,OTHER,False,activity_ntrades,4.624972813284271,0.4569471897744254,9.398249438949572,0.07375279673758237,0.20868637222429942,287,True,3,False,0.9211830823627
BTCUSDT,2020-12-19,446776,OTHER,False,realized_vol,2.3863358614893175,0.21566655872237095,18.40826128396776,0.037654136361244796,0.04634941762778433,287,True,10,False,0.505922762981014
BTCUSDT,2020-12-20,446805,OTHER,False,activity_volume,3.7700902629798803,0.6277152389700259,5.588023877759851,0.1240415566795711,0.4075009952025236,287,True,22,False,1.1415309765502302
BTCUSDT,2020-12-20,446805,OTHER,False,activity_ntrades,4.727387818712341,0.7572015889259027,3.337509134713939,0.20768398005279334,0.587943864337988,287,True,2,False,1.008121501240459
BTCUSDT,2020-12-20,446805,OTHER,False,realized_vol,2.6099058127553936,0.5612314143428927,6.9314634627662075,0.10000012036178638,0.317831468732519,287,True,8,False,0.6977538374582064
BTCUSDT,2020-12-21,446831,OTHER,False,activity_volume,4.277852877907221,0.4014611077319332,10.951735412455486,0.06329108168296543,0.16237812990203593,287,True,24.0,True,0.03454443495964562
BTCUSDT,2020-12-21,446831,OTHER,False,activity_ntrades,5.262690188904886,0.5110023053899048,8.056574127148526,0.08603497834448298,0.262958314617153,287,True,16,False,0.23394009547153768
BTCUSDT,2020-12-21,446831,OTHER,False,realized_vol,2.904553518609993,0.17998401108801593,20.578647111913256,0.033682835260762746,0.032558669221258274,287,True,24.0,True,0.08391327156320721
BTCUSDT,2020-12-23,446868,OTHER,False,activity_volume,3.739452356133128,0.5557828997212241,7.048530349336547,0.09833924892232163,0.30884615979094976,287,True,15,False,1.640888737735499
BTCUSDT,2020-12-23,446868,OTHER,False,activity_ntrades,4.955827057601261,0.5835744966584039,6.462997959904631,0.10724855320396441,0.34319496702347674,287,True,5,False,1.3553944671366434
BTCUSDT,2020-12-23,446868,OTHER,False,realized_vol,2.689416942965681,0.3806228226763771,11.591356331097694,0.059798625869204446,0.14458093620762824,287,True,5,False,0.7808114211071397
